Brand,Color_Group,Stars,Num_Ratings,Num_Reviews,RAM,Storage,Expandable,Processor_Brand,Display,Total_Cameras,Battery_Capacity,Price
APPLE,Blue,4.7,193738,10619,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.1,3,5000.0,69900
SAMSUNG,Blue,4.3,1196,86,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.6,1,6000.0,18168
SAMSUNG,Green,4.2,8048,643,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.59,1,6000.0,16324
REDMI,White,4.4,84641,5738,6 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.43,5,5000.0,12999
POCO,Blue,4.3,154378,13840,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.43,4,5000.0,13999
MOTOROLA,Grey,4.1,4585,564,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.6,4,5000.0,20499
vivo,Blue,4.5,81347,4594,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.58,3,5000.0,12999
OPPO,Blue,4.4,2235,94,4 GB RAM ,64 GB ROM,Expandable Upto 2 TB,Mediatek processor,6.56,4,5000.0,12499
POCO,Blue,4.4,1868,230,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.67,4,5000.0,22999
POCO,Yellow,4.3,154378,13840,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.43,4,5000.0,13999
Infinix,Black,4.3,1735,218,4 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.7,3,5000.0,9999
MOTOROLA,Blue,4.1,10942,1515,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.55,4,5000.0,15999
realme,Green,4.4,171279,9859,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.6,4,5000.0,11999
realme,Black,4.4,171279,9859,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.6,4,5000.0,11999
